sample_token,scene_token,cam_type,category,attribute,visibility,bbox_bottom_corners,bbox_center
ca9a282c9e77460f8360f564131a8af5,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,vehicle.truck,vehicle.parked,4,"[(np.float64(406.9916853810469), np.float64(1159.7285895415864)), (np.float64(409.71692202265507), np.float64(1158.8065189113001)), (np.float64(412.98631461895303), np.float64(1168.4694104584134)), (np.float64(410.2610779773449), np.float64(1169.3914810886997))]","[np.float64(409.989), np.float64(1164.099)]"
ca9a282c9e77460f8360f564131a8af5,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,human.pedestrian.adult,pedestrian.standing,1,"[(np.float64(410.1573970424216), np.float64(1165.7618511424564)), (np.float64(410.865285513244), np.float64(1165.7492848034196)), (np.float64(410.8806029575784), np.float64(1166.6121488575434)), (np.float64(410.17271448675604), np.float64(1166.6247151965802))]","[np.float64(410.519), np.float64(1166.187)]"
ca9a282c9e77460f8360f564131a8af5,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,human.pedestrian.adult,pedestrian.standing,4,"[(np.float64(407.8698629351169), np.float64(1162.9769190803377)), (np.float64(407.89946314776915), np.float64(1163.6102277155314)), (np.float64(407.28213706488316), np.float64(1163.6390809196623)), (np.float64(407.2525368522309), np.float64(1163.0057722844685))]","[np.float64(407.576), np.float64(1163.308)]"
ca9a282c9e77460f8360f564131a8af5,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,movable_object.pushable_pullable,,4,"[(np.float64(407.47191962670706), np.float64(1163.0201555123385)), (np.float64(408.04085157760437), np.float64(1162.8327590469285)), (np.float64(408.30208037329294), np.float64(1163.6258444876617)), (np.float64(407.73314842239563), np.float64(1163.8132409530717))]","[np.float64(407.887), np.float64(1163.323)]"
39586f9d59004284a7114a68825e8eec,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,vehicle.truck,vehicle.parked,4,"[(np.float64(407.00068538104694), np.float64(1159.7135895415865)), (np.float64(409.7259220226551), np.float64(1158.7915189113003)), (np.float64(412.99531461895305), np.float64(1168.4544104584136)), (np.float64(410.2700779773449), np.float64(1169.3764810886998))]","[np.float64(409.998), np.float64(1164.084)]"
39586f9d59004284a7114a68825e8eec,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,human.pedestrian.adult,pedestrian.standing,1,"[(np.float64(410.1573970424216), np.float64(1165.7618511424564)), (np.float64(410.865285513244), np.float64(1165.7492848034196)), (np.float64(410.8806029575784), np.float64(1166.6121488575434)), (np.float64(410.17271448675604), np.float64(1166.6247151965802))]","[np.float64(410.519), np.float64(1166.187)]"
39586f9d59004284a7114a68825e8eec,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,human.pedestrian.adult,pedestrian.standing,4,"[(np.float64(407.8551293642927), np.float64(1162.9828650973534)), (np.float64(407.90681369792077), np.float64(1163.614754905514)), (np.float64(407.2908706357073), np.float64(1163.6651349026467)), (np.float64(407.2391863020792), np.float64(1163.0332450944861))]","[np.float64(407.573), np.float64(1163.324)]"
39586f9d59004284a7114a68825e8eec,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,movable_object.pushable_pullable,,4,"[(np.float64(407.51391962670704), np.float64(1163.1071555123385)), (np.float64(408.08285157760434), np.float64(1162.9197590469284)), (np.float64(408.3440803732929), np.float64(1163.7128444876616)), (np.float64(407.7751484223956), np.float64(1163.9002409530717))]","[np.float64(407.929), np.float64(1163.41)]"
356d81f38dd9473ba590f39e266f54e5,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,vehicle.truck,vehicle.parked,4,"[(np.float64(407.00968538104695), np.float64(1159.6985895415864)), (np.float64(409.7349220226551), np.float64(1158.7765189113002)), (np.float64(413.00431461895306), np.float64(1168.4394104584135)), (np.float64(410.2790779773449), np.float64(1169.3614810886997))]","[np.float64(410.007), np.float64(1164.069)]"
356d81f38dd9473ba590f39e266f54e5,cc8c0bf57f984915a77078b10eb33198,CAM_FRONT,human.pedestrian.adult,pedestrian.standing,4,"[(np.float64(407.8400520622968), np.float64(1162.9892267347)), (np.float64(407.9137575475016), np.float64(1163.6189278554316)), (np.float64(407.29994793770317), np.float64(1163.6907732652999)), (np.float64(407.2262424524984), np.float64(1163.0610721445682))]","[np.float64(407.57), np.float64(1163.34)]"
