from,to,action,p(s),frequency
0,0,1,0.8888888888888888,8
0,8,4,0.1111111111111111,1
1,9,7,1.0,1
2,2,9,0.5,3
2,2,3,0.16666666666666666,1
2,1,7,0.16666666666666666,1
2,464,3,0.16666666666666666,1
3,5,7,0.0547945205479452,4
3,5,3,0.0547945205479452,4
3,3,3,0.0821917808219178,6
3,3,7,0.1780821917808219,13
3,3,9,0.1643835616438356,12
3,2,3,0.0136986301369863,1
3,17,7,0.0410958904109589,3
3,4,9,0.0273972602739726,2
3,4,7,0.0410958904109589,3
3,4,3,0.0136986301369863,1
3,40,5,0.0273972602739726,2
3,40,4,0.0273972602739726,2
3,40,6,0.0273972602739726,2
3,396,3,0.0136986301369863,1
3,396,7,0.0136986301369863,1
3,251,9,0.0136986301369863,1
3,251,7,0.0410958904109589,3
3,123,10,0.0136986301369863,1
3,228,5,0.0136986301369863,1
3,600,4,0.0136986301369863,1
3,840,3,0.0136986301369863,1
3,52,6,0.0136986301369863,1
3,647,9,0.0136986301369863,1
3,647,7,0.0273972602739726,2
3,1237,7,0.0136986301369863,1
3,87,7,0.0136986301369863,1
3,87,3,0.0136986301369863,1
3,124,9,0.0136986301369863,1
4,3,7,0.022222222222222223,2
4,3,9,0.022222222222222223,2
4,3,3,0.011111111111111112,1
4,253,3,0.03333333333333333,3
4,253,7,0.044444444444444446,4
4,4,7,0.3,27
4,4,9,0.15555555555555556,14
4,4,3,0.1111111111111111,10
4,40,6,0.011111111111111112,1
4,40,4,0.011111111111111112,1
4,16,3,0.011111111111111112,1
4,16,7,0.011111111111111112,1
4,383,10,0.011111111111111112,1
4,2,9,0.011111111111111112,1
4,222,7,0.022222222222222223,2
4,60,9,0.022222222222222223,2
4,124,3,0.022222222222222223,2
4,19,6,0.011111111111111112,1
4,19,4,0.03333333333333333,3
4,395,3,0.011111111111111112,1
4,26,4,0.011111111111111112,1
4,463,3,0.011111111111111112,1
4,241,8,0.011111111111111112,1
4,178,7,0.011111111111111112,1
4,797,7,0.022222222222222223,2
4,792,6,0.011111111111111112,1
4,1026,7,0.011111111111111112,1
4,687,9,0.011111111111111112,1
4,1359,9,0.011111111111111112,1
5,3,3,0.00909090909090909,2
5,3,9,0.01818181818181818,4
5,3,7,0.013636363636363636,3
5,5,3,0.2590909090909091,57
5,5,7,0.22727272727272727,50
5,5,9,0.12727272727272726,28
5,52,6,0.01818181818181818,4
5,52,4,0.06363636363636363,14
5,52,5,0.031818181818181815,7
5,233,3,0.004545454545454545,1
5,17,9,0.045454545454545456,10
5,17,3,0.01818181818181818,4
5,17,7,0.05454545454545454,12
5,60,3,0.013636363636363636,3
5,60,9,0.004545454545454545,1
5,60,7,0.013636363636363636,3
5,6,6,0.00909090909090909,2
5,519,3,0.004545454545454545,1
5,519,7,0.004545454545454545,1
5,288,3,0.004545454545454545,1
5,1028,3,0.004545454545454545,1
5,1084,1,0.004545454545454545,1
5,1084,3,0.004545454545454545,1
5,1144,3,0.004545454545454545,1
5,837,6,0.004545454545454545,1
5,963,9,0.004545454545454545,1
5,22,4,0.004545454545454545,1
5,178,9,0.004545454545454545,1
5,534,9,0.004545454545454545,1
5,534,3,0.004545454545454545,1
5,534,7,0.00909090909090909,2
6,11,6,0.053918495297805645,86
6,11,5,0.04012539184952978,64
6,11,4,0.02946708463949843,47
6,27,6,0.0006269592476489029,1
6,6,4,0.25391849529780564,405
6,6,5,0.2,319
6,6,6,0.27774294670846394,443
6,26,4,0.0219435736677116,35
6,26,6,0.03134796238244514,50
6,26,5,0.010031347962382446,16
6,12,5,0.005642633228840125,9
6,12,6,0.006269592476489028,10
6,12,4,0.0018808777429467085,3
6,90,2,0.005642633228840125,9
6,90,10,0.003134796238244514,5
6,90,8,0.0012539184952978057,2
6,133,4,0.0018808777429467085,3
6,133,6,0.0012539184952978057,2
6,133,5,0.0012539184952978057,2
6,14,6,0.0025078369905956114,4
6,14,4,0.0006269592476489029,1
6,14,5,0.0006269592476489029,1
6,182,4,0.0018808777429467085,3
6,182,6,0.0012539184952978057,2
6,385,5,0.0006269592476489029,1
6,385,4,0.0006269592476489029,1
6,244,5,0.0006269592476489029,1
6,244,6,0.0006269592476489029,1
6,17,9,0.00877742946708464,14
6,17,3,0.005642633228840125,9
6,17,7,0.003134796238244514,5
6,549,5,0.0006269592476489029,1
6,571,10,0.0006269592476489029,1
6,134,2,0.0006269592476489029,1
6,600,6,0.0012539184952978057,2
6,600,5,0.0025078369905956114,4
6,569,5,0.0006269592476489029,1
6,25,6,0.0018808777429467085,3
6,25,5,0.0006269592476489029,1
6,25,4,0.0012539184952978057,2
6,795,4,0.0012539184952978057,2
6,795,6,0.0006269592476489029,1
6,720,6,0.0006269592476489029,1
6,793,6,0.0006269592476489029,1
6,205,9,0.0012539184952978057,2
6,205,3,0.0012539184952978057,2
6,205,7,0.0006269592476489029,1
6,267,10,0.0012539184952978057,2
6,178,9,0.0006269592476489029,1
6,178,3,0.0006269592476489029,1
6,106,5,0.0012539184952978057,2
6,106,6,0.0012539184952978057,2
6,1147,5,0.0006269592476489029,1
6,399,6,0.0012539184952978057,2
6,1059,4,0.0006269592476489029,1
6,93,10,0.0006269592476489029,1
6,93,2,0.0006269592476489029,1
6,1146,3,0.0006269592476489029,1
7,7,7,0.38461538461538464,5
7,7,3,0.07692307692307693,1
7,4,7,0.23076923076923078,3
7,65,5,0.07692307692307693,1
7,10,6,0.07692307692307693,1
7,87,7,0.07692307692307693,1
7,748,7,0.07692307692307693,1
8,10,4,0.5,1
8,10,6,0.5,1
9,13,7,1.0,1
10,7,7,0.058823529411764705,1
10,10,6,0.11764705882352941,2
10,10,4,0.058823529411764705,1
10,10,5,0.17647058823529413,3
10,184,6,0.058823529411764705,1
10,184,5,0.058823529411764705,1
10,305,4,0.058823529411764705,1
10,356,6,0.058823529411764705,1
10,356,4,0.058823529411764705,1
10,4,3,0.058823529411764705,1
10,22,4,0.058823529411764705,1
10,340,6,0.058823529411764705,1
10,6,4,0.058823529411764705,1
10,65,5,0.058823529411764705,1
11,12,6,0.02366345311130587,27
11,12,5,0.021034180543382998,24
11,12,4,0.008764241893076249,10
11,11,6,0.31551270815074495,360
11,11,5,0.26380368098159507,301
11,11,4,0.1411042944785276,161
11,14,6,0.057843996494303246,66
11,14,5,0.04995617879053462,57
11,14,4,0.025416301489921123,29
11,93,8,0.0026292725679228747,3
11,93,2,0.006134969325153374,7
11,93,10,0.0052585451358457495,6
11,106,6,0.0008764241893076249,1
11,106,5,0.0008764241893076249,1
11,182,4,0.0008764241893076249,1
11,182,5,0.0017528483786152498,2
11,182,6,0.0035056967572304996,4
11,205,9,0.008764241893076249,10
11,205,3,0.0043821209465381246,5
11,205,7,0.0026292725679228747,3
11,34,5,0.0017528483786152498,2
11,34,6,0.0008764241893076249,1
11,294,3,0.0008764241893076249,1
11,294,9,0.0017528483786152498,2
11,472,5,0.0008764241893076249,1
11,15,5,0.006134969325153374,7
11,15,4,0.0026292725679228747,3
11,15,6,0.0026292725679228747,3
11,549,5,0.0026292725679228747,3
11,35,6,0.0008764241893076249,1
11,35,4,0.0008764241893076249,1
11,188,5,0.0008764241893076249,1
11,79,9,0.0026292725679228747,3
11,284,6,0.0008764241893076249,1
11,293,9,0.0017528483786152498,2
11,508,10,0.0008764241893076249,1
11,508,8,0.0008764241893076249,1
11,508,2,0.0008764241893076249,1
11,244,5,0.0008764241893076249,1
11,244,6,0.0017528483786152498,2
11,308,5,0.0026292725679228747,3
11,720,5,0.007011393514460999,8
11,304,6,0.0008764241893076249,1
11,102,5,0.0043821209465381246,5
11,102,4,0.0017528483786152498,2
11,102,6,0.0017528483786152498,2
11,18,6,0.0008764241893076249,1
11,1247,9,0.0008764241893076249,1
11,1059,4,0.0008764241893076249,1
11,52,6,0.0008764241893076249,1
12,12,5,0.29865125240847784,155
12,12,6,0.22928709055876687,119
12,12,4,0.11368015414258188,59
12,15,5,0.05202312138728324,27
12,15,6,0.017341040462427744,9
12,15,4,0.01348747591522158,7
12,11,6,0.06358381502890173,33
12,11,5,0.06358381502890173,33
12,11,4,0.02119460500963391,11
12,14,4,0.0038535645472061657,2
12,14,6,0.01348747591522158,7
12,14,5,0.0038535645472061657,2
12,246,5,0.0038535645472061657,2
12,246,4,0.0019267822736030828,1
12,246,6,0.0019267822736030828,1
12,308,5,0.025048169556840076,13
12,308,6,0.005780346820809248,3
12,308,4,0.007707129094412331,4
12,182,4,0.0019267822736030828,1
12,310,4,0.0019267822736030828,1
12,460,5,0.0019267822736030828,1
12,460,4,0.0019267822736030828,1
12,512,10,0.005780346820809248,3
12,512,2,0.0038535645472061657,2
12,512,8,0.0038535645472061657,2
12,357,6,0.005780346820809248,3
12,518,5,0.0019267822736030828,1
12,205,7,0.0019267822736030828,1
12,205,9,0.0019267822736030828,1
12,294,3,0.0019267822736030828,1
12,93,10,0.0019267822736030828,1
12,1059,5,0.0019267822736030828,1
12,22,6,0.0019267822736030828,1
12,462,4,0.0019267822736030828,1
12,720,5,0.0019267822736030828,1
12,1266,5,0.0019267822736030828,1
12,1266,6,0.0019267822736030828,1
12,99,5,0.0038535645472061657,2
12,348,2,0.0019267822736030828,1
12,295,3,0.0019267822736030828,1
12,257,6,0.0019267822736030828,1
12,102,6,0.0019267822736030828,1
13,16,3,0.25,2
13,13,7,0.25,2
13,13,9,0.125,1
13,395,7,0.125,1
13,644,7,0.125,1
13,288,7,0.125,1
14,14,6,0.31004366812227074,213
14,14,5,0.3158660844250364,217
14,14,4,0.11790393013100436,81
14,15,5,0.027656477438136828,19
14,15,6,0.026200873362445413,18
14,15,4,0.002911208151382824,2
14,79,9,0.01455604075691412,10
14,79,3,0.005822416302765648,4
14,79,7,0.001455604075691412,1
14,77,3,0.001455604075691412,1
14,52,6,0.02911208151382824,20
14,52,4,0.013100436681222707,9
14,52,5,0.020378457059679767,14
14,197,4,0.002911208151382824,2
14,197,6,0.001455604075691412,1
14,35,5,0.008733624454148471,6
14,35,4,0.001455604075691412,1
14,35,6,0.001455604075691412,1
14,304,5,0.002911208151382824,2
14,188,5,0.008733624454148471,6
14,188,6,0.002911208151382824,2
14,181,5,0.011644832605531296,8
14,181,6,0.004366812227074236,3
14,22,5,0.004366812227074236,3
14,22,4,0.002911208151382824,2
14,165,5,0.001455604075691412,1
14,508,8,0.002911208151382824,2
14,508,10,0.008733624454148471,6
14,508,2,0.00727802037845706,5
14,460,6,0.001455604075691412,1
14,347,6,0.004366812227074236,3
14,18,5,0.001455604075691412,1
14,908,4,0.001455604075691412,1
14,908,5,0.001455604075691412,1
14,102,6,0.00727802037845706,5
14,102,5,0.005822416302765648,4
14,102,4,0.002911208151382824,2
14,348,2,0.001455604075691412,1
14,101,9,0.001455604075691412,1
14,40,6,0.001455604075691412,1
14,6,5,0.001455604075691412,1
14,246,5,0.001455604075691412,1
14,837,4,0.001455604075691412,1
14,5,9,0.001455604075691412,1
14,1305,6,0.001455604075691412,1
14,293,7,0.001455604075691412,1
15,14,6,0.04984423676012461,16
15,14,4,0.01557632398753894,5
15,14,5,0.037383177570093455,12
15,15,5,0.3862928348909657,124
15,15,6,0.27102803738317754,87
15,15,4,0.0529595015576324,17
15,18,4,0.006230529595015576,2
15,18,6,0.006230529595015576,2
15,18,5,0.003115264797507788,1
15,47,6,0.018691588785046728,6
15,47,1,0.003115264797507788,1
15,86,6,0.003115264797507788,1
15,130,6,0.003115264797507788,1
15,35,4,0.003115264797507788,1
15,22,5,0.024922118380062305,8
15,22,6,0.009345794392523364,3
15,22,4,0.006230529595015576,2
15,295,9,0.01557632398753894,5
15,295,3,0.009345794392523364,3
15,246,5,0.01557632398753894,5
15,246,4,0.003115264797507788,1
15,40,6,0.003115264797507788,1
15,460,5,0.009345794392523364,3
15,76,9,0.006230529595015576,2
15,52,6,0.006230529595015576,2
15,52,4,0.003115264797507788,1
15,321,9,0.003115264797507788,1
