from,to,action,p(s),frequency
0,0,3,0.2727272727272727,12
0,0,9,0.25,11
0,0,7,0.06818181818181818,3
0,8,5,0.022727272727272728,1
0,8,6,0.045454545454545456,2
0,325,6,0.022727272727272728,1
0,318,7,0.022727272727272728,1
0,713,9,0.022727272727272728,1
0,713,7,0.022727272727272728,1
0,713,3,0.022727272727272728,1
0,232,7,0.022727272727272728,1
0,232,3,0.022727272727272728,1
0,1063,9,0.022727272727272728,1
0,65,4,0.022727272727272728,1
0,1633,3,0.022727272727272728,1
0,162,7,0.06818181818181818,3
0,2119,3,0.045454545454545456,2
1,1,7,0.2,1
1,0,3,0.2,1
1,422,7,0.2,1
1,1406,7,0.2,1
1,232,9,0.2,1
2,5,4,0.5,1
2,5,6,0.5,1
3,3,9,0.5,3
3,3,3,0.16666666666666666,1
3,11,7,0.16666666666666666,1
3,617,3,0.16666666666666666,1
4,7,7,0.04,2
4,7,9,0.02,1
4,4,3,0.1,5
4,4,9,0.18,9
4,4,7,0.24,12
4,3,9,0.02,1
4,280,7,0.04,2
4,332,7,0.1,5
4,82,9,0.04,2
4,233,6,0.02,1
4,616,3,0.02,1
4,312,8,0.02,1
4,422,7,0.02,1
4,1119,7,0.04,2
4,1114,6,0.02,1
4,500,3,0.02,1
4,500,7,0.04,2
4,2026,9,0.02,1
5,15,7,0.125,1
5,469,6,0.125,1
5,360,5,0.125,1
5,4,3,0.125,1
5,5,5,0.375,3
5,79,5,0.125,1
6,16,7,1.0,1
7,17,7,0.02857142857142857,1
7,17,3,0.02857142857142857,1
7,7,3,0.02857142857142857,1
7,7,7,0.2571428571428571,9
7,7,9,0.2,7
7,3,3,0.02857142857142857,1
7,162,7,0.02857142857142857,1
7,339,9,0.02857142857142857,1
7,339,7,0.08571428571428572,3
7,157,4,0.02857142857142857,1
7,4,7,0.05714285714285714,2
7,4,9,0.02857142857142857,1
7,314,10,0.02857142857142857,1
7,912,7,0.02857142857142857,1
7,1191,3,0.02857142857142857,1
7,1826,7,0.02857142857142857,1
7,336,7,0.02857142857142857,1
7,120,3,0.02857142857142857,1
8,12,6,0.037383177570093455,4
8,12,5,0.028037383177570093,3
8,12,4,0.018691588785046728,2
8,124,6,0.009345794392523364,1
8,124,4,0.009345794392523364,1
8,124,5,0.018691588785046728,2
8,8,4,0.21495327102803738,23
8,8,6,0.2616822429906542,28
8,8,5,0.2616822429906542,28
8,313,2,0.009345794392523364,1
8,1395,10,0.009345794392523364,1
8,154,10,0.009345794392523364,1
8,21,4,0.009345794392523364,1
8,0,3,0.009345794392523364,1
8,0,7,0.009345794392523364,1
8,65,4,0.037383177570093455,4
8,232,3,0.009345794392523364,1
8,527,6,0.018691588785046728,2
8,1900,5,0.009345794392523364,1
8,1673,3,0.009345794392523364,1
9,9,5,0.3918918918918919,58
9,9,6,0.20270270270270271,30
9,9,4,0.13513513513513514,20
9,13,5,0.05405405405405406,8
9,13,6,0.013513513513513514,2
9,12,6,0.02027027027027027,3
9,12,5,0.006756756756756757,1
9,408,6,0.013513513513513514,2
9,408,5,0.02702702702702703,4
9,230,4,0.006756756756756757,1
9,682,10,0.006756756756756757,1
9,682,2,0.006756756756756757,1
9,682,8,0.013513513513513514,2
9,473,6,0.02027027027027027,3
9,21,4,0.006756756756756757,1
9,713,7,0.006756756756756757,1
9,405,4,0.006756756756756757,1
9,600,3,0.006756756756756757,1
9,62,4,0.02027027027027027,3
9,1257,5,0.006756756756756757,1
9,1874,5,0.006756756756756757,1
9,125,5,0.006756756756756757,1
9,457,2,0.006756756756756757,1
9,615,4,0.006756756756756757,1
10,10,1,0.8888888888888888,8
10,2,4,0.1111111111111111,1
11,6,7,1.0,1
12,9,6,0.06944444444444445,5
12,9,4,0.013888888888888888,1
12,12,6,0.2222222222222222,16
12,12,5,0.20833333333333334,15
12,12,4,0.2361111111111111,17
12,230,4,0.013888888888888888,1
12,14,6,0.013888888888888888,1
12,14,5,0.013888888888888888,1
12,745,2,0.027777777777777776,2
12,745,10,0.013888888888888888,1
12,745,8,0.013888888888888888,1
12,372,6,0.013888888888888888,1
12,21,4,0.06944444444444445,5
12,22,6,0.013888888888888888,1
12,22,4,0.027777777777777776,2
12,1839,9,0.013888888888888888,1
12,713,3,0.013888888888888888,1
13,14,6,0.022900763358778626,3
13,13,5,0.4961832061068702,65
13,13,6,0.2366412213740458,31
13,13,4,0.030534351145038167,4
13,58,6,0.04580152671755725,6
13,58,1,0.007633587786259542,1
13,166,6,0.007633587786259542,1
13,294,5,0.03816793893129771,5
13,294,6,0.007633587786259542,1
13,454,9,0.030534351145038167,4
13,454,3,0.015267175572519083,2
13,376,5,0.022900763358778626,3
13,615,5,0.007633587786259542,1
13,611,9,0.015267175572519083,2
13,419,9,0.007633587786259542,1
13,457,8,0.007633587786259542,1
14,14,6,0.2903225806451613,9
14,14,5,0.1935483870967742,6
14,14,4,0.0967741935483871,3
14,13,5,0.06451612903225806,2
14,13,6,0.03225806451612903,1
14,243,5,0.03225806451612903,1
14,243,6,0.03225806451612903,1
14,615,6,0.03225806451612903,1
14,22,4,0.12903225806451613,4
14,965,9,0.03225806451612903,1
14,17,9,0.03225806451612903,1
14,670,10,0.03225806451612903,1
15,15,7,0.375,3
15,4,7,0.25,2
15,79,5,0.125,1
15,5,6,0.125,1
15,120,7,0.125,1
16,1,3,0.2,1
16,16,7,0.2,1
16,581,7,0.2,1
16,805,7,0.2,1
16,379,7,0.2,1
17,7,3,0.03508771929824561,2
17,7,7,0.017543859649122806,1
17,17,9,0.22807017543859648,13
17,17,7,0.17543859649122806,10
17,17,3,0.21052631578947367,12
17,763,5,0.017543859649122806,1
17,763,4,0.03508771929824561,2
17,763,6,0.017543859649122806,1
17,336,7,0.017543859649122806,1
17,0,7,0.017543859649122806,1
17,0,9,0.017543859649122806,1
17,82,9,0.017543859649122806,1
17,82,7,0.017543859649122806,1
17,1575,1,0.017543859649122806,1
17,1575,3,0.017543859649122806,1
17,171,7,0.03508771929824561,2
17,1666,3,0.017543859649122806,1
17,8,6,0.017543859649122806,1
17,1054,9,0.017543859649122806,1
17,1054,3,0.017543859649122806,1
17,1054,7,0.017543859649122806,1
17,709,7,0.017543859649122806,1
18,18,6,0.2692307692307692,7
18,18,5,0.3076923076923077,8
18,19,4,0.11538461538461539,3
18,133,5,0.07692307692307693,2
18,133,6,0.07692307692307693,2
18,20,4,0.038461538461538464,1
18,106,5,0.07692307692307693,2
18,205,7,0.038461538461538464,1
19,19,4,0.23,23
19,19,5,0.11,11
19,19,6,0.11,11
19,26,4,0.01,1
19,66,5,0.01,1
19,66,4,0.01,1
19,233,5,0.02,2
19,160,8,0.01,1
